unique_id,case_id_fkey,latitude,longitude,collision_year,death_date,death_time,death_datetime,collision_date,collision_time,collision_datetime,location,age,sex,deceased,collision_type,street_type,on_vz_hin_2017,in_coc_2018,publish,on_vz_hin_2022,in_epa_2021,point,analysis_neighborhood,supervisor_district,police_district,data_as_of,data_loaded_at,age_category,collision_category,collision_hour,time_of_day,collision_year_clean,collision_month,collision_day,day_of_week,high_risk
11,140437844,37.73393255773273,-122.43036850132192,2014,2014-06-13,04:40:00,2014-06-13 04:40:00,2014-05-25,20:56:00,2014-05-25 08:56:00,1200 Block of San Jose Ave,34.0,Male,Pedestrian,Pedestrian vs LRV,City Street,True,False,True,False,False,POINT (-122.430368501 37.733932558),Outer Mission,8.0,INGLESIDE,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Pedestrian,20.0,Morning (5am-12pm),2014,5,25,Sunday,1
180,190384182,37.784952298199975,-122.427986102,2019,2019-05-31,,2019-05-31 12:00:00,2019-05-29,05:25:00,2019-05-29 05:25:00,Geary Boulevard and Laguna Street,86.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,True,True,False,True,POINT (-122.427986102 37.784952298),Western Addition,2.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,5.0,Morning (5am-12pm),2019,5,29,Wednesday,1
262,200154497,37.78693970625616,-122.41151576686327,2020,2020-03-01,08:03:00,2020-03-01 08:03:00,2020-03-01,07:27:00,2020-03-01 07:27:00,Geary Boulevard at Taylor Street,67.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.411515767 37.786939706),Tenderloin,3.0,CENTRAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,7.0,Morning (5am-12pm),2020,3,1,Sunday,1
117,161004191,37.77375970048751,-122.40851633075717,2016,2016-12-14,19:55:00,2016-12-14 07:55:00,2016-12-11,19:55:00,2016-12-11 07:55:00,8th Street and Harrison Street,70.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.408516331 37.7737597),South of Market,6.0,SOUTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Bicycle,19.0,Morning (5am-12pm),2016,12,11,Sunday,0
20241132,240553978,37.77896954751244,-122.51336032453428,2024,2024-09-03,16:56:00,2024-09-03 04:56:00,2024-09-03,16:39:00,2024-09-03 04:39:00,Point Lobos Ave between El Camino Del Mar and Great Highway,56.0,Male,Driver,Motor Vehicle Collision,City Street,False,False,True,False,False,POINT (-122.513360325 37.778969548),Outer Richmond,1.0,RICHMOND,2024-11-08 12:00:00,2025-04-08 04:35:01,Adult (35-64),Vehicle,16.0,Night (9pm-5am),2024,9,3,Tuesday,1
277,200414031,37.77825101707722,-122.41988322968012,2020,2020-07-13,20:13:00,2020-07-13 08:13:00,2020-07-10,21:29:00,2020-07-10 09:29:00,Grove Street and Van Ness Avenue,58.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,False,True,True,True,POINT (-122.41988323 37.778251017),Hayes Valley,5.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,21.0,Morning (5am-12pm),2020,7,10,Friday,1
292,200725327,37.76560583888232,-122.41048668921316,2020,2020-12-01,20:08:00,2020-12-01 08:08:00,2020-12-01,,2020-12-01 12:00:00,16th Street and Bryant Street,33.0,Male,Standup Powered Device Rider,e-Scooter vs Motor Vehicle,City Street,True,True,True,True,False,POINT (-122.410486689 37.765605839),Mission,9.0,MISSION,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,13.0,Afternoon (12pm-5pm),2020,12,1,Tuesday,0
164,180862035,37.726979832199994,-122.39357015699998,2018,2018-12-02,04:05:00,2018-12-02 04:05:00,2018-11-13,12:00:00,2018-11-13 12:00:00,3rd Street and Armstrong Avenue,83.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.393570157 37.726979832),Bayview Hunters Point,10.0,BAYVIEW,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,12.0,Afternoon (12pm-5pm),2018,11,13,Tuesday,1
20240727,240323470,37.78486651362075,-122.41278001795564,2024,2024-05-23,13:09:00,2024-05-23 01:09:00,2024-05-23,12:37:00,2024-05-23 12:37:00,Ellis St and Jones St,55.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,True,True,False,True,POINT (-122.412780018 37.784866514),Tenderloin,5.0,TENDERLOIN,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,12.0,Afternoon (12pm-5pm),2024,5,23,Thursday,1
20231175,230576617,37.77551408995729,-122.40629588395058,2023,2023-08-14,23:29:00,2023-08-14 11:29:00,2023-08-14,22:42:00,2023-08-14 10:42:00,7th St and Harrison St,69.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.406295884 37.77551409),South of Market,6.0,SOUTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,22.0,Morning (5am-12pm),2023,8,14,Monday,1
105,160469247,37.785460258951616,-122.42302314844368,2016,2016-06-09,10:54:00,2016-06-09 10:54:00,2016-06-09,,2016-06-09 12:00:00,Franklin Street at Geary Blvd,86.0,Female,Pedestrian,Pedestrian vs Bus (Paratransit),City Street,True,False,True,True,False,POINT (-122.423023148 37.785460259),Western Addition,2.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,13.0,Afternoon (12pm-5pm),2016,6,9,Thursday,1
296,240169569,37.78800716070106,-122.3997980237196,2020,2020-12-31,,2020-12-31 12:00:00,2020-12-31,,2020-12-31 12:00:00,Mission Street and 2nd Street,60.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,False,True,True,False,POINT (-122.399798024 37.788007161),Financial District/South Beach,6.0,SOUTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,13.0,Afternoon (12pm-5pm),2020,12,31,Thursday,1
280,200457348,37.76606248719723,-122.47736282965312,2020,2020-08-02,13:16:00,2020-08-02 01:16:00,2020-07-30,19:08:00,2020-07-30 07:08:00,Martin Luther King Drive and 19th Avenue,23.0,Male,Pedestrian,Pedestrian Collision,City Street,False,False,True,False,False,POINT (-122.47736283 37.766062487),Golden Gate Park,4.0,RICHMOND,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Pedestrian,19.0,Morning (5am-12pm),2020,7,30,Thursday,1
315,210306199,37.77751171073788,-122.41804316646618,2021,2021-05-18,19:14:00,2021-05-18 07:14:00,2021-05-18,18:59:00,2021-05-18 06:59:00,Polk Street and Hayes Street,29.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,False,True,False,True,POINT (-122.418043166 37.777511711),Tenderloin,6.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Pedestrian,18.0,Morning (5am-12pm),2021,5,18,Tuesday,1
20230135,230052479,37.783151427917915,-122.42255798140488,2023,2023-01-23,06:00:00,2023-01-23 06:00:00,2023-01-23,05:30:00,2023-01-23 05:30:00,Franklin St between Ellis and Eddy Sts,44.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,False,True,True,True,POINT (-122.422557981 37.783151428),Western Addition,2.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,5.0,Morning (5am-12pm),2023,1,23,Monday,1
20221632,220879277,37.80645395217273,-122.43639239245653,2022,2022-12-24,05:07:00,2022-12-24 05:07:00,2022-12-24,05:18:00,2022-12-24 05:18:00,Marina Blvd west of Webster St,24.0,Female,Driver,Motor Vehicle Collision,City Street,False,False,True,False,False,POINT (-122.436392392 37.806453952),Marina,2.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,5.0,Morning (5am-12pm),2022,12,24,Saturday,0
311,210206414,37.783784933742325,-122.39893033200352,2021,2021-04-03,14:27:00,2021-04-03 02:27:00,2021-04-03,13:00:00,2021-04-03 01:00:00,Third Street and Folsom Street,78.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.398930332 37.783784934),South of Market,6.0,SOUTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,13.0,Night (9pm-5am),2021,4,3,Saturday,1
95,160206566,37.797426874417994,-122.41029600766436,2016,2016-03-11,06:02:00,2016-03-11 06:02:00,2016-03-11,,2016-03-11 12:00:00,Across from 814 Broadway,62.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,True,True,True,True,POINT (-122.410296008 37.797426874),Chinatown,3.0,CENTRAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,13.0,Afternoon (12pm-5pm),2016,3,11,Friday,1
20240903,240407535,37.777924395631075,-122.40324539935226,2024,2024-07-04,05:17:00,2024-07-04 05:17:00,2024-06-30,16:48:00,2024-06-30 04:48:00,Harrison St between 5th St and 6th St,29.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.403245399 37.777924396),South of Market,6.0,SOUTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Pedestrian,16.0,Night (9pm-5am),2024,6,30,Sunday,1
317,210330706,37.765314639540925,-122.41530838931412,2021,2021-06-25,14:48:00,2021-06-25 02:48:00,2021-05-28,21:22:00,2021-05-28 09:22:00,16th Street and Folsom Street,72.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,False,True,True,False,POINT (-122.415308389 37.76531464),Mission,9.0,MISSION,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,21.0,Morning (5am-12pm),2021,5,28,Friday,1
51,140437941,37.795146810197075,-122.43004013432538,2014,2014-06-04,06:40:00,2014-06-04 06:40:00,2014-05-25,,2014-05-25 12:00:00,Broadway St and Laguna St,51.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,False,False,True,False,False,POINT (-122.430040134 37.79514681),Pacific Heights,2.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Bicycle,13.0,Afternoon (12pm-5pm),2014,5,25,Sunday,0
302,210078605,37.71857435924796,-122.4850767869654,2021,2021-02-04,08:04:00,2021-02-04 08:04:00,2021-02-04,07:56:00,2021-02-04 07:56:00,Lake Merced Boulevard and Higuera Avenue,27.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,True,True,False,True,POINT (-122.485076787 37.718574359),Lakeshore,7.0,TARAVAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Pedestrian,7.0,Morning (5am-12pm),2021,2,4,Thursday,1
